#sersic	abs_mag	color	mor
#mor	0:elliptical	1:spiral
1.103124999999999911e+00 -2.266455268859863281e+01 3.032520294189453125e+00 0.000000000000000000e+00
2.175625000000000142e+00 -2.287960052490234375e+01 3.107191085815429688e+00 1.000000000000000000e+00
3.784374999999999822e+00 -2.736077880859375000e+01 3.125141143798828125e+00 1.000000000000000000e+00
2.175625000000000142e+00 -2.632897567749023438e+01 2.732419967651367188e+00 1.000000000000000000e+00
1.444374999999999964e+00 -2.556427764892578125e+01 2.639921188354492188e+00 0.000000000000000000e+00
1.395624999999999893e+00 -2.534888267517089844e+01 3.329545974731445312e+00 0.000000000000000000e+00
1.883124999999999938e+00 -2.451705169677734375e+01 3.019447326660156250e+00 1.000000000000000000e+00
1.249374999999999902e+00 -2.525752258300781250e+01 2.798217773437500000e+00 0.000000000000000000e+00
9.568750000000000311e-01 -2.455250358581542969e+01 3.192464828491210938e+00 0.000000000000000000e+00
1.395624999999999893e+00 -2.373089790344238281e+01 2.648120880126953125e+00 0.000000000000000000e+00
1.200625000000000053e+00 -2.427685737609863281e+01 3.316511154174804688e+00 0.000000000000000000e+00
1.541875000000000107e+00 -2.426936912536621094e+01 2.811544418334960938e+00 0.000000000000000000e+00
8.593750000000000000e-01 -2.354162597656250000e+01 3.287668228149414062e+00 0.000000000000000000e+00
1.200625000000000053e+00 -2.289153099060058594e+01 2.933181762695312500e+00 0.000000000000000000e+00
1.054375000000000062e+00 -2.387078094482421875e+01 2.867649078369140625e+00 0.000000000000000000e+00
1.249374999999999902e+00 -2.328844261169433594e+01 2.215967178344726562e+00 0.000000000000000000e+00
1.054375000000000062e+00 -2.401749229431152344e+01 3.378540039062500000e+00 0.000000000000000000e+00
1.395624999999999893e+00 -2.369964790344238281e+01 2.947669982910156250e+00 0.000000000000000000e+00
8.593750000000000000e-01 -2.327726936340332031e+01 2.420333862304687500e+00 0.000000000000000000e+00
9.568750000000000311e-01 -2.440301704406738281e+01 2.744550704956054688e+00 0.000000000000000000e+00
6.643750000000000488e-01 -2.355784034729003906e+01 2.199195861816406250e+00 0.000000000000000000e+00
